case_id,crime_no,case_category,registered_date,unit_id,district_id,crime_head_id,crime_subhead_id,gravity,status,lat,lng,brief_facts
24,100020008202500010,FIR,2025-08-06,8,2,3,10,Heinous,Undetected,12.2938,76.55761,Domestic Violence Complaint reported in the jurisdiction.
25,100010005202500017,FIR,2025-08-06,5,1,4,11,Non-Heinous,Charge Sheeted,12.85661,77.51355,Online Financial Fraud reported in the jurisdiction.
26,100050023202500008,FIR,2025-08-07,23,5,6,15,Non-Heinous,Closed,12.89231,74.83756,Rioting reported in the jurisdiction.
27,100030017202500010,FIR,2025-08-07,17,3,1,2,Non-Heinous,Closed,15.93729,74.39614,Burglary / House-breaking reported in the jurisdiction.
28,100050023202500016,FIR,2025-08-07,23,5,1,2,Non-Heinous,Under Investigation,12.86576,74.84289,Burglary / House-breaking reported in the jurisdiction.
29,100040019202500024,FIR,2025-08-07,19,4,1,5,Non-Heinous,Charge Sheeted,17.4165,76.85145,Robbery — accused matches pattern seen in other station records.
30,100010006202500009,FIR,2025-08-08,6,1,1,4,Non-Heinous,Under Investigation,12.89635,77.61588,Vehicle Theft reported in the jurisdiction.
31,100020012202500008,FIR,2025-08-08,12,2,1,1,Non-Heinous,Charge Sheeted,12.20225,76.73607,Theft reported in the jurisdiction.
32,100020009202500003,FIR,2025-08-09,9,2,3,9,Non-Heinous,Closed,12.33152,76.70779,Molestation reported in the jurisdiction.
33,100010006202500012,FIR,2025-08-09,6,1,2,8,Non-Heinous,Charge Sheeted,12.89526,77.62758,Assault reported in the jurisdiction.
34,100010005202500006,FIR,2025-08-09,5,1,6,16,Non-Heinous,Under Investigation,12.84838,77.49524,Public Nuisance reported in the jurisdiction.
35,100060030202500010,FIR,2025-08-09,30,6,5,14,Non-Heinous,Under Investigation,13.36084,77.1237,Peddling reported in the jurisdiction.
36,100020009202500009,FIR,2025-08-09,9,2,4,11,Non-Heinous,Under Investigation,12.32848,76.71,Online Financial Fraud reported in the jurisdiction.
37,100060030202500011,FIR,2025-08-09,30,6,3,10,Heinous,Charge Sheeted,13.38503,77.13819,Domestic Violence Complaint reported in the jurisdiction.
38,100030013202500001,FIR,2025-08-10,13,3,2,6,Heinous,Under Investigation,15.74879,74.47369,Grievous Hurt reported in the jurisdiction.
39,100020007202500002,FIR,2025-08-10,7,2,1,2,Non-Heinous,Closed,12.21395,76.68245,Burglary / House-breaking reported in the jurisdiction.
40,100050026202500011,FIR,2025-08-10,26,5,1,5,Non-Heinous,Charge Sheeted,12.95992,74.88638,Robbery reported in the jurisdiction.
41,100010004202500021,FIR,2025-08-10,4,1,3,9,Heinous,Undetected,12.97244,77.63324,Molestation reported in the jurisdiction.
42,100040019202500013,FIR,2025-08-10,19,4,1,5,Non-Heinous,Under Investigation,17.43091,76.84984,Robbery reported in the jurisdiction.
43,100020012202500010,FIR,2025-08-10,12,2,2,8,Non-Heinous,Under Investigation,12.1965,76.75992,Assault reported in the jurisdiction.
44,100030014202500016,FIR,2025-08-10,14,3,3,9,Heinous,Closed,15.82851,74.46538,Molestation reported in the jurisdiction.
45,100030016202500017,FIR,2025-08-10,16,3,2,7,Non-Heinous,Charge Sheeted,15.82506,74.41834,Murder reported in the jurisdiction.
46,100050024202500002,FIR,2025-08-11,24,5,2,7,Heinous,Under Investigation,12.98862,74.76043,Murder reported in the jurisdiction.
47,100020007202500014,FIR,2025-08-11,7,2,2,8,Heinous,Closed,12.22168,76.69036,Assault reported in the jurisdiction.
48,100040022202500009,FIR,2025-08-12,22,4,2,6,Non-Heinous,Under Investigation,17.22235,76.77729,Grievous Hurt reported in the jurisdiction.
49,100020011202500008,FIR,2025-08-12,11,2,1,2,Non-Heinous,Under Investigation,12.33747,76.60902,Burglary / House-breaking reported in the jurisdiction.
50,100040020202500026,FIR,2025-08-12,20,4,1,5,Non-Heinous,Closed,17.38204,76.74397,Robbery — accused matches pattern seen in other station records.
51,100020008202500001,FIR,2025-08-13,8,2,6,16,Non-Heinous,Undetected,12.32432,76.56543,Public Nuisance reported in the jurisdiction.
52,100010004202500005,FIR,2025-08-13,4,1,1,5,Non-Heinous,Closed,12.97777,77.61977,Robbery reported in the jurisdiction.
53,100010005202500019,FIR,2025-08-13,5,1,3,9,Non-Heinous,Charge Sheeted,12.84888,77.4969,Molestation reported in the jurisdiction.
54,100030014202500018,FIR,2025-08-13,14,3,1,2,Non-Heinous,Under Investigation,15.83341,74.44422,Burglary / House-breaking reported in the jurisdiction.
55,100010005202500011,FIR,2025-08-14,5,1,1,5,Non-Heinous,Charge Sheeted,12.87287,77.51274,Robbery reported in the jurisdiction.
56,100040018202500028,FIR,2025-08-14,18,4,1,5,Non-Heinous,Charge Sheeted,17.42524,76.87498,Robbery — accused matches pattern seen in other station records.
57,100040018202500001,FIR,2025-08-15,18,4,4,11,Non-Heinous,Charge Sheeted,17.42758,76.84988,Online Financial Fraud reported in the jurisdiction.
58,100010001202500001,FIR,2025-08-15,1,1,3,9,Heinous,Under Investigation,12.88643,77.64493,Molestation reported in the jurisdiction.
59,100020009202500005,FIR,2025-08-15,9,2,3,9,Heinous,Under Investigation,12.31685,76.72183,Molestation reported in the jurisdiction.
60,100040021202500022,FIR,2025-08-15,21,4,2,8,Non-Heinous,Closed,17.26094,76.79433,Assault reported in the jurisdiction.
61,100030016202500007,FIR,2025-08-16,16,3,2,6,Non-Heinous,Under Investigation,15.82561,74.39746,Grievous Hurt reported in the jurisdiction.
62,100030015202500010,FIR,2025-08-16,15,3,6,15,Non-Heinous,Under Investigation,15.79659,74.3931,Rioting reported in the jurisdiction.
63,100060027202500008,FIR,2025-08-16,27,6,6,15,Non-Heinous,Closed,13.3815,77.0539,Rioting reported in the jurisdiction.
64,200060028202500002,UDR,2025-08-16,28,6,4,11,Non-Heinous,Closed,13.40409,77.04753,Online Financial Fraud reported in the jurisdiction.
65,100050024202500016,FIR,2025-08-16,24,5,6,15,Non-Heinous,Closed,12.98253,74.7886,Rioting reported in the jurisdiction.
66,100040021202500018,FIR,2025-08-16,21,4,4,12,Non-Heinous,Undetected,17.27023,76.77913,Social Media Harassment reported in the jurisdiction.
67,100020009202500012,FIR,2025-08-16,9,2,4,12,Non-Heinous,Charge Sheeted,12.29768,76.72086,Social Media Harassment reported in the jurisdiction.
68,100010006202500021,FIR,2025-08-16,6,1,3,9,Heinous,Under Investigation,12.88928,77.6286,Molestation reported in the jurisdiction.
69,100040022202500022,FIR,2025-08-16,22,4,3,9,Heinous,Under Investigation,17.22847,76.75892,Molestation reported in the jurisdiction.
70,100020008202500004,FIR,2025-08-17,8,2,1,5,Non-Heinous,Under Investigation,12.32308,76.56048,Robbery reported in the jurisdiction.
71,100040020202500012,FIR,2025-08-17,20,4,1,5,Non-Heinous,Closed,17.39008,76.71454,Robbery reported in the jurisdiction.
72,100050023202500018,FIR,2025-08-17,23,5,2,8,Non-Heinous,Under Investigation,12.8724,74.85216,Assault reported in the jurisdiction.
73,100050025202500017,FIR,2025-08-17,25,5,1,2,Non-Heinous,Closed,12.87999,74.88907,Burglary / House-breaking reported in the jurisdiction.
74,100020010202500011,FIR,2025-08-18,10,2,4,11,Non-Heinous,Under Investigation,12.17355,76.71297,Online Financial Fraud reported in the jurisdiction.
75,100040021202500015,FIR,2025-08-18,21,4,2,8,Non-Heinous,Under Investigation,17.27364,76.78631,Assault reported in the jurisdiction.
76,100020011202500018,FIR,2025-08-18,11,2,1,1,Non-Heinous,Closed,12.34665,76.58468,Theft reported in the jurisdiction.
77,100030016202500001,FIR,2025-08-19,16,3,3,9,Non-Heinous,Undetected,15.8276,74.40194,Molestation reported in the jurisdiction.
78,100060030202500002,FIR,2025-08-19,30,6,6,16,Non-Heinous,Under Investigation,13.37076,77.13606,Public Nuisance reported in the jurisdiction.
79,100060027202500017,FIR,2025-08-19,27,6,2,7,Heinous,Closed,13.3589,77.02129,Murder reported in the jurisdiction.
80,400060030202500001,Zero FIR,2025-08-20,30,6,3,10,Non-Heinous,Under Investigation,13.37561,77.14811,Domestic Violence Complaint reported in the jurisdiction.
81,100010001202500003,FIR,2025-08-20,1,1,4,11,Non-Heinous,Charge Sheeted,12.89285,77.65529,Online Financial Fraud reported in the jurisdiction.
82,100010003202500003,FIR,2025-08-20,3,1,4,12,Non-Heinous,Under Investigation,12.86955,77.65936,Social Media Harassment reported in the jurisdiction.
83,100060028202500015,FIR,2025-08-20,28,6,1,5,Non-Heinous,Charge Sheeted,13.37461,77.02765,Robbery reported in the jurisdiction.
84,100040021202500019,FIR,2025-08-20,21,4,2,6,Non-Heinous,Closed,17.26687,76.79902,Grievous Hurt reported in the jurisdiction.
85,100040019202500017,FIR,2025-08-20,19,4,6,15,Non-Heinous,Charge Sheeted,17.40087,76.84681,Rioting reported in the jurisdiction.
86,100030015202500006,FIR,2025-08-21,15,3,1,1,Non-Heinous,Undetected,15.79437,74.38147,Theft reported in the jurisdiction.
87,100040018202500008,FIR,2025-08-21,18,4,6,16,Non-Heinous,Closed,17.42351,76.86192,Public Nuisance reported in the jurisdiction.
88,100040019202500010,FIR,2025-08-21,19,4,1,3,Non-Heinous,Charge Sheeted,17.42937,76.84055,Chain Snatching reported in the jurisdiction.
89,100050023202500017,FIR,2025-08-21,23,5,1,1,Non-Heinous,Charge Sheeted,12.87124,74.85916,Theft reported in the jurisdiction.
90,100010003202500018,FIR,2025-08-21,3,1,2,8,Heinous,Charge Sheeted,12.87988,77.64457,Assault reported in the jurisdiction.
91,100050025202500016,FIR,2025-08-21,25,5,3,9,Non-Heinous,Under Investigation,12.89628,74.89029,Molestation reported in the jurisdiction.
92,100010001202500008,FIR,2025-08-22,1,1,1,2,Non-Heinous,Closed,12.87059,77.65814,Burglary / House-breaking reported in the jurisdiction.
93,100050023202500014,FIR,2025-08-22,23,5,4,11,Non-Heinous,Charge Sheeted,12.86626,74.85964,Online Financial Fraud reported in the jurisdiction.
94,100010006202500018,FIR,2025-08-22,6,1,1,5,Non-Heinous,Under Investigation,12.92512,77.62995,Robbery reported in the jurisdiction.
95,100020009202500013,FIR,2025-08-22,9,2,2,6,Heinous,Under Investigation,12.30326,76.73289,Grievous Hurt reported in the jurisdiction.
96,100060028202500001,FIR,2025-08-23,28,6,5,14,Non-Heinous,Charge Sheeted,13.39181,77.05306,Peddling reported in the jurisdiction.
97,100060027202500009,FIR,2025-08-23,27,6,1,4,Non-Heinous,Under Investigation,13.35053,77.0535,Vehicle Theft reported in the jurisdiction.
98,100040021202500005,FIR,2025-08-24,21,4,2,8,Non-Heinous,Charge Sheeted,17.26789,76.79793,Assault reported in the jurisdiction.
99,100040021202500014,FIR,2025-08-24,21,4,5,14,Non-Heinous,Under Investigation,17.2486,76.78896,Peddling reported in the jurisdiction.
100,100010003202500022,FIR,2025-08-24,3,1,1,2,Non-Heinous,Closed,12.86061,77.659,Burglary / House-breaking — accused matches pattern seen in other station records.
101,100010005202500004,FIR,2025-08-25,5,1,2,6,Non-Heinous,Undetected,12.87309,77.48677,Grievous Hurt reported in the jurisdiction.
102,200060030202500001,UDR,2025-08-25,30,6,1,1,Non-Heinous,Charge Sheeted,13.37869,77.13978,Theft reported in the jurisdiction.
103,100050023202500012,FIR,2025-08-25,23,5,4,11,Non-Heinous,Under Investigation,12.89477,74.83375,Online Financial Fraud reported in the jurisdiction.
104,100010003202500015,FIR,2025-08-25,3,1,5,13,Non-Heinous,Charge Sheeted,12.88906,77.64543,Possession reported in the jurisdiction.
105,100040022202500021,FIR,2025-08-25,22,4,2,8,Heinous,Under Investigation,17.22747,76.78572,Assault reported in the jurisdiction.
106,100040021202500021,FIR,2025-08-26,21,4,1,1,Non-Heinous,Charge Sheeted,17.24478,76.76638,Theft reported in the jurisdiction.
107,100020007202500018,FIR,2025-08-26,7,2,4,12,Non-Heinous,Under Investigation,12.21828,76.68577,Social Media Harassment reported in the jurisdiction.
108,100060028202500002,FIR,2025-08-27,28,6,5,14,Heinous,Charge Sheeted,13.39691,77.03059,Peddling reported in the jurisdiction.
109,100040020202500002,FIR,2025-08-27,20,4,1,3,Non-Heinous,Charge Sheeted,17.38898,76.70729,Chain Snatching reported in the jurisdiction.
110,100020007202500015,FIR,2025-08-27,7,2,2,8,Heinous,Charge Sheeted,12.21215,76.67895,Assault reported in the jurisdiction.
111,100030017202500013,FIR,2025-08-27,17,3,5,14,Heinous,Undetected,15.93423,74.38016,Peddling reported in the jurisdiction.
112,100060029202500002,FIR,2025-08-28,29,6,3,10,Heinous,Under Investigation,13.30468,77.23091,Domestic Violence Complaint reported in the jurisdiction.
113,100010004202500015,FIR,2025-08-28,4,1,2,6,Heinous,Under Investigation,12.97254,77.62574,Grievous Hurt reported in the jurisdiction.
114,100050025202500015,FIR,2025-08-28,25,5,3,9,Heinous,Closed,12.88638,74.87941,Molestation reported in the jurisdiction.
115,100010002202500018,FIR,2025-08-28,2,1,2,8,Heinous,Charge Sheeted,12.91042,77.51031,Assault reported in the jurisdiction.
116,100060028202500010,FIR,2025-08-29,28,6,1,3,Non-Heinous,Under Investigation,13.39381,77.02631,Chain Snatching reported in the jurisdiction.
117,100010005202500007,FIR,2025-08-29,5,1,2,7,Non-Heinous,Undetected,12.86343,77.49583,Murder reported in the jurisdiction.
118,100030015202500015,FIR,2025-08-29,15,3,3,9,Heinous,Undetected,15.81194,74.39741,Molestation reported in the jurisdiction.
119,100010005202500013,FIR,2025-08-29,5,1,1,3,Non-Heinous,Undetected,12.84999,77.49369,Chain Snatching reported in the jurisdiction.
120,100040021202500026,FIR,2025-08-29,21,4,1,2,Non-Heinous,Under Investigation,17.28282,76.77721,Burglary / House-breaking reported in the jurisdiction.
121,100050026202500021,FIR,2025-08-29,26,5,3,9,Non-Heinous,Closed,12.96895,74.88106,Molestation reported in the jurisdiction.
122,100030016202500024,FIR,2025-08-29,16,3,1,2,Non-Heinous,Under Investigation,15.83165,74.4275,Burglary / House-breaking — accused matches pattern seen in other station records.
123,100060027202500003,FIR,2025-08-30,27,6,2,7,Heinous,Under Investigation,13.36235,77.05509,Murder reported in the jurisdiction.
124,100040021202500006,FIR,2025-08-30,21,4,4,12,Non-Heinous,Charge Sheeted,17.28146,76.79318,Social Media Harassment reported in the jurisdiction.
125,100040020202500004,FIR,2025-08-30,20,4,6,16,Non-Heinous,Closed,17.38342,76.71844,Public Nuisance reported in the jurisdiction.
126,100040022202500015,FIR,2025-08-30,22,4,2,6,Non-Heinous,Under Investigation,17.24009,76.78996,Grievous Hurt reported in the jurisdiction.
127,100010003202500019,FIR,2025-08-30,3,1,6,16,Non-Heinous,Charge Sheeted,12.86489,77.6345,Public Nuisance reported in the jurisdiction.
128,100030016202500008,FIR,2025-08-31,16,3,3,9,Non-Heinous,Undetected,15.84474,74.40538,Molestation reported in the jurisdiction.
129,100020007202500007,FIR,2025-08-31,7,2,2,6,Non-Heinous,Under Investigation,12.21054,76.68111,Grievous Hurt reported in the jurisdiction.
130,100040020202500014,FIR,2025-08-31,20,4,4,12,Non-Heinous,Under Investigation,17.36959,76.72978,Social Media Harassment reported in the jurisdiction.
131,100010003202500020,FIR,2025-09-01,3,1,2,7,Heinous,Under Investigation,12.89188,77.64939,Murder reported in the jurisdiction.
132,100010001202500010,FIR,2025-09-02,1,1,1,2,Non-Heinous,Under Investigation,12.8671,77.66074,Burglary / House-breaking reported in the jurisdiction.
133,100030014202500010,FIR,2025-09-02,14,3,3,10,Heinous,Charge Sheeted,15.81882,74.4561,Domestic Violence Complaint reported in the jurisdiction.
134,100010003202500001,FIR,2025-09-03,3,1,1,1,Non-Heinous,Charge Sheeted,12.88204,77.66473,Theft reported in the jurisdiction.
135,100040019202500005,FIR,2025-09-03,19,4,2,6,Non-Heinous,Closed,17.42635,76.83796,Grievous Hurt reported in the jurisdiction.
136,100040021202500004,FIR,2025-09-03,21,4,5,14,Heinous,Undetected,17.24663,76.76584,Peddling reported in the jurisdiction.
137,100050024202500009,FIR,2025-09-03,24,5,6,16,Non-Heinous,Under Investigation,13.0109,74.76166,Public Nuisance reported in the jurisdiction.
138,100040019202500015,FIR,2025-09-03,19,4,2,8,Heinous,Closed,17.41735,76.86194,Assault reported in the jurisdiction.
139,100030013202500016,FIR,2025-09-03,13,3,3,10,Heinous,Closed,15.77263,74.46201,Domestic Violence Complaint reported in the jurisdiction.
140,100060027202500016,FIR,2025-09-03,27,6,5,13,Non-Heinous,Under Investigation,13.36153,77.0528,Possession reported in the jurisdiction.
141,100040018202500025,FIR,2025-09-03,18,4,2,7,Heinous,Under Investigation,17.39764,76.86935,Murder reported in the jurisdiction.
142,100030017202500014,FIR,2025-09-03,17,3,3,10,Heinous,Under Investigation,15.96099,74.406,Domestic Violence Complaint reported in the jurisdiction.
143,100030015202500002,FIR,2025-09-04,15,3,4,11,Non-Heinous,Closed,15.8056,74.37273,Online Financial Fraud reported in the jurisdiction.
144,100030016202500009,FIR,2025-09-04,16,3,2,7,Heinous,Under Investigation,15.83498,74.42536,Murder reported in the jurisdiction.
145,100030015202500021,FIR,2025-09-04,15,3,5,14,Heinous,Undetected,15.79899,74.38017,Peddling reported in the jurisdiction.
146,100010002202500015,FIR,2025-09-04,2,1,1,5,Non-Heinous,Under Investigation,12.90255,77.51635,Robbery reported in the jurisdiction.
147,100040022202500001,FIR,2025-09-05,22,4,4,12,Non-Heinous,Charge Sheeted,17.2225,76.78415,Social Media Harassment reported in the jurisdiction.
148,100030013202500005,FIR,2025-09-05,13,3,2,7,Non-Heinous,Closed,15.75129,74.46708,Murder reported in the jurisdiction.
149,100020009202500007,FIR,2025-09-05,9,2,3,9,Heinous,Charge Sheeted,12.32454,76.69672,Molestation reported in the jurisdiction.
150,100060028202500016,FIR,2025-09-05,28,6,4,12,Non-Heinous,Closed,13.39796,77.02669,Social Media Harassment reported in the jurisdiction.
151,100040018202500020,FIR,2025-09-05,18,4,2,8,Heinous,Undetected,17.41489,76.88084,Assault reported in the jurisdiction.
152,100040019202500020,FIR,2025-09-05,19,4,3,10,Non-Heinous,Under Investigation,17.40006,76.84002,Domestic Violence Complaint reported in the jurisdiction.
153,100030016202500003,FIR,2025-09-06,16,3,1,4,Non-Heinous,Undetected,15.84882,74.41137,Vehicle Theft reported in the jurisdiction.
154,100010002202500012,FIR,2025-09-06,2,1,4,12,Non-Heinous,Closed,12.90038,77.51519,Social Media Harassment reported in the jurisdiction.
155,100030015202500025,FIR,2025-09-06,15,3,5,14,Heinous,Under Investigation,15.78672,74.37885,Peddling reported in the jurisdiction.
156,100050026202500001,FIR,2025-09-07,26,5,2,8,Heinous,Under Investigation,12.94871,74.90852,Assault reported in the jurisdiction.
157,100010002202500001,FIR,2025-09-07,2,1,1,3,Non-Heinous,Undetected,12.92214,77.51041,Chain Snatching reported in the jurisdiction.
158,100020007202500005,FIR,2025-09-07,7,2,1,5,Non-Heinous,Charge Sheeted,12.21452,76.66888,Robbery reported in the jurisdiction.
159,100060030202500004,FIR,2025-09-07,30,6,2,6,Non-Heinous,Closed,13.35705,77.13368,Grievous Hurt reported in the jurisdiction.
160,100010005202500008,FIR,2025-09-07,5,1,5,13,Heinous,Charge Sheeted,12.85128,77.48228,Possession reported in the jurisdiction.
161,100060030202500015,FIR,2025-09-07,30,6,1,1,Non-Heinous,Under Investigation,13.36256,77.12964,Theft reported in the jurisdiction.
162,100010003202500008,FIR,2025-09-08,3,1,4,12,Non-Heinous,Charge Sheeted,12.88575,77.64863,Social Media Harassment reported in the jurisdiction.
163,100020007202500006,FIR,2025-09-08,7,2,6,15,Non-Heinous,Charge Sheeted,12.22533,76.66765,Rioting reported in the jurisdiction.
164,100030015202500022,FIR,2025-09-08,15,3,5,13,Heinous,Closed,15.78277,74.40239,Possession reported in the jurisdiction.
165,100040021202500008,FIR,2025-09-09,21,4,1,3,Non-Heinous,Charge Sheeted,17.28409,76.78637,Chain Snatching reported in the jurisdiction.
166,100060029202500010,FIR,2025-09-09,29,6,1,1,Non-Heinous,Charge Sheeted,13.30224,77.23045,Theft reported in the jurisdiction.
167,100050026202500018,FIR,2025-09-09,26,5,6,16,Non-Heinous,Charge Sheeted,12.96399,74.90573,Public Nuisance reported in the jurisdiction.
168,100050025202500002,FIR,2025-09-10,25,5,1,5,Non-Heinous,Charge Sheeted,12.89833,74.87899,Robbery reported in the jurisdiction.
169,100020007202500004,FIR,2025-09-10,7,2,1,2,Non-Heinous,Under Investigation,12.22854,76.66308,Burglary / House-breaking reported in the jurisdiction.
170,100050026202500010,FIR,2025-09-10,26,5,1,2,Non-Heinous,Charge Sheeted,12.95603,74.91456,Burglary / House-breaking reported in the jurisdiction.
171,100050024202500022,FIR,2025-09-10,24,5,1,1,Non-Heinous,Charge Sheeted,12.98099,74.79408,Theft reported in the jurisdiction.
172,100030014202500002,FIR,2025-09-11,14,3,3,9,Non-Heinous,Under Investigation,15.82582,74.44233,Molestation reported in the jurisdiction.
173,100060029202500005,FIR,2025-09-11,29,6,2,8,Non-Heinous,Charge Sheeted,13.29638,77.25152,Assault reported in the jurisdiction.
174,100010003202500012,FIR,2025-09-11,3,1,6,15,Non-Heinous,Charge Sheeted,12.88986,77.64469,Rioting reported in the jurisdiction.
175,100060027202500012,FIR,2025-09-11,27,6,4,11,Non-Heinous,Charge Sheeted,13.34816,77.05384,Online Financial Fraud reported in the jurisdiction.
176,100010006202500022,FIR,2025-09-11,6,1,6,15,Non-Heinous,Charge Sheeted,12.90009,77.60032,Rioting reported in the jurisdiction.
177,100040019202500023,FIR,2025-09-11,19,4,1,5,Non-Heinous,Undetected,17.42216,76.85005,Robbery reported in the jurisdiction.
178,100030014202500004,FIR,2025-09-12,14,3,5,13,Heinous,Charge Sheeted,15.81737,74.44636,Possession reported in the jurisdiction.
179,100060028202500009,FIR,2025-09-12,28,6,1,5,Non-Heinous,Under Investigation,13.40672,77.01876,Robbery reported in the jurisdiction.
180,100040021202500028,FIR,2025-09-12,21,4,1,2,Non-Heinous,Under Investigation,17.27662,76.79466,Burglary / House-breaking reported in the jurisdiction.
181,100060029202500003,FIR,2025-09-13,29,6,3,9,Non-Heinous,Charge Sheeted,13.30915,77.24293,Molestation reported in the jurisdiction.
182,100040021202500020,FIR,2025-09-13,21,4,5,13,Non-Heinous,Charge Sheeted,17.28398,76.77674,Possession reported in the jurisdiction.
183,100050023202500015,FIR,2025-09-13,23,5,4,11,Non-Heinous,Under Investigation,12.90218,74.83232,Online Financial Fraud reported in the jurisdiction.
184,100040022202500005,FIR,2025-09-14,22,4,1,5,Non-Heinous,Charge Sheeted,17.22968,76.77729,Robbery reported in the jurisdiction.
185,100050023202500003,FIR,2025-09-14,23,5,1,4,Non-Heinous,Under Investigation,12.87053,74.85108,Vehicle Theft reported in the jurisdiction.
186,100050026202500007,FIR,2025-09-14,26,5,2,7,Non-Heinous,Closed,12.9677,74.9068,Murder reported in the jurisdiction.
187,100010003202500009,FIR,2025-09-14,3,1,4,12,Non-Heinous,Closed,12.88502,77.63524,Social Media Harassment reported in the jurisdiction.
188,100060027202500013,FIR,2025-09-14,27,6,4,12,Non-Heinous,Closed,13.35339,77.0504,Social Media Harassment reported in the jurisdiction.
189,200060028202500001,UDR,2025-09-15,28,6,5,13,Non-Heinous,Charge Sheeted,13.37941,77.0477,Possession reported in the jurisdiction.
190,100010002202500004,FIR,2025-09-15,2,1,2,7,Heinous,Charge Sheeted,12.91387,77.5241,Murder reported in the jurisdiction.
191,100060030202500013,FIR,2025-09-15,30,6,3,9,Non-Heinous,Closed,13.38794,77.12044,Molestation reported in the jurisdiction.
192,100010004202500031,FIR,2025-09-15,4,1,1,1,Non-Heinous,Under Investigation,12.99345,77.60008,Theft — accused matches pattern seen in other station records.
193,100040018202500011,FIR,2025-09-16,18,4,6,15,Non-Heinous,Charge Sheeted,17.39337,76.87052,Rioting reported in the jurisdiction.
194,100040021202500025,FIR,2025-09-16,21,4,3,9,Heinous,Undetected,17.26163,76.76608,Molestation reported in the jurisdiction.
195,100010005202500021,FIR,2025-09-16,5,1,4,11,Non-Heinous,Closed,12.8661,77.48531,Online Financial Fraud reported in the jurisdiction.
196,100030017202500015,FIR,2025-09-16,17,3,4,11,Non-Heinous,Undetected,15.95825,74.39353,Online Financial Fraud reported in the jurisdiction.
197,100040018202500005,FIR,2025-09-17,18,4,5,13,Heinous,Undetected,17.4241,76.86927,Possession reported in the jurisdiction.
198,100040020202500009,FIR,2025-09-17,20,4,1,4,Non-Heinous,Under Investigation,17.39044,76.72678,Vehicle Theft reported in the jurisdiction.
